Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,PRI_SCHOOL,PUB_SCHOOL
역삼래미안,APT,200510,SS,80.66,109.4,80.0,276,21.9,27.5,22.5,9.9,13.0,10.0,7976.0,9504.0,9298.0,3912.0,4339.0,4132.0,37.497838,127.050397,19,0,17,1,4,8,2,6,9,33,7,0,2
역삼2차아이파크,APT,200812,SS,74.98,149.58,106.0,273,19.5,33.0,25.2,11.8,17.0,11.9,6922.0,8815.0,7859.0,3680.0,4522.0,3711.0,37.496869,127.052049,13,0,12,1,3,8,1,5,7,21,7,0,2
역삼트레벨,APT,200204,SS,33.48,35.93,33.0,241,5.9,6.3,6.0,3.3,3.3,3.3,5667.0,6311.0,6011.0,3306.0,3306.0,3306.0,37.496162,127.050418,17,0,13,1,4,9,2,4,9,21,7,0,2
디오빌역삼(주상복합),APT,200206,SS,39.58,112.01,39.0,966,2.9,15.3,3.2,2.7,7.0,2.8,2458.0,4516.0,2712.0,1815.0,3005.0,2373.0,37.501445,127.042887,15,0,15,1,4,54,1,22,13,109,17,0,1
역삼IPARK,APT,200609,SS,36.27,181.03,36.0,273,7.95,37.0,8.4,3.9,18.5,4.5,6210.0,8264.0,7713.0,3140.0,4591.0,4132.0,37.499604,127.047061,21,0,18,1,4,27,2,4,16,65,8,0,2
쌍용플래티넘밸류,OPST,200701,SS,86.16,197.52,101.0,640,5.75,15.0,5.8,,,,1898.0,2755.0,1898.0,,,,37.495468,127.030388,27,2,8,1,4,84,2,23,16,119,14,0,2
쎄비앙,APT,200701,SS,116.96,127.36,127.0,249,12.5,14.5,13.0,,,,3254.0,4132.0,3384.0,,,,37.49584,127.042811,23,0,14,1,4,26,1,12,18,61,17,0,2
강남역효성해링턴타워더퍼스트,OPST,201406,SS,45.49,53.57,51.0,799,2.3,3.1,2.75,2.0,2.1,,1690.0,2009.0,1783.0,1469.0,1543.0,,37.496987,127.02995,31,2,9,1,4,107,1,28,14,123,14,0,2
더포엠역삼,OPST,202309,SS,47.47,59.4,50.0,798,7.9,9.8,9.8,6.5,6.5,,5323.0,6479.0,6479.0,4572.0,4572.0,,37.502628,127.039524,13,1,13,0,4,68,1,26,9,107,18,0,1
래미안그레이튼3차,APT,200912,SS,85.64,172.22,113.0,271,23.4,37.0,26.0,10.5,19.3,13.5,6631.0,9256.0,7606.0,3709.0,4242.0,3949.0,37.496731,127.048307,23,0,16,1,4,11,2,6,14,29,7,0,2
능현(선릉대우디오빌3차),OPST,200403,SS,49.76,52.5,52.0,799,2.2,2.5,2.35,2.1,2.2,2.15,1399.0,1589.0,1494.0,1335.0,1399.0,1367.0,37.503431,127.047759,17,2,13,0,4,55,1,24,11,66,7,0,1
역삼프라임,APT,200505,SS,137.4,137.4,137.0,237,17.0,17.0,17.0,,,,4102.0,4102.0,4102.0,,,,37.505229,127.039525,10,0,11,0,4,41,1,11,7,80,18,0,1
세연예지향,APT,200308,SS,124.98,124.98,124.0,286,,,,7.0,7.0,7.0,,,,1866.0,1866.0,1866.0,37.498,127.041427,16,0,14,1,4,35,2,12,15,102,17,0,2
세종빌라트,APT,199801,SS,144.49,144.49,144.0,254,22.0,22.0,22.0,,,,5051.0,5051.0,5051.0,,,,37.494258,127.038851,10,0,8,2,4,27,2,14,14,59,17,0,1
한라클래식,OPST,199910,SS,62.82,125.64,62.0,989,2.55,6.8,2.75,,,,1360.0,1900.0,1466.0,,,,37.497162,127.030385,30,2,10,1,4,111,1,26,14,133,14,0,2
선릉역우정에쉐르멤버스(주상복합),APT,200408,SS,28.83,47.17,47.0,548,2.65,5.7,5.49,3.2,3.45,3.4,3129.0,4009.0,3861.0,2251.0,2427.0,2391.0,37.503138,127.048373,17,2,14,0,4,54,1,20,11,66,7,0,1
개나리SK뷰,APT,201208,SS,160.22,160.22,160.0,257,38.0,40.0,38.0,,,,7851.0,8264.0,7851.0,,,,37.501728,127.050099,15,2,15,0,4,43,1,13,7,64,7,0,1
K타워(도시형),APT,201404,SS,26.34,26.34,26.0,732,2.1,2.2,2.2,,,,2670.0,2797.0,2797.0,,,,37.504493,127.044318,7,2,10,0,4,52,0,17,10,73,9,0,1
뜨라네(828-21),APT,200508,SS,69.14,69.14,69.0,281,8.0,8.0,8.0,5.0,5.0,5.0,3833.0,3833.0,3833.0,2395.0,2395.0,2395.0,37.497543,127.03286,25,3,13,1,4,107,3,21,19,153,18,0,2
불루밍코트,APT,200305,SS,115.73,190.35,135.0,283,,,,10.0,12.0,10.0,,,,2088.0,3162.0,2449.0,37.494235,127.03599,8,0,6,1,4,44,3,11,18,78,16,0,1
역삼EG소울리더(도시형),APT,201211,SS,21.13,39.68,30.0,247,1.73,3.1,2.3,1.8,2.75,,2237.0,3416.0,2534.0,2331.0,2834.0,,37.497152,127.033589,23,2,11,1,4,100,3,19,18,151,18,0,2
금천빌딩(선릉이스타빌),OPST,200501,SS,53.75,53.75,53.0,702,2.05,2.3,2.15,1.9,1.9,1.9,1279.0,1435.0,1341.0,1185.0,1185.0,1185.0,37.503171,127.047943,18,2,14,0,4,55,1,22,11,66,7,0,1
래미안그레이튼2차,APT,201006,SS,86,154.96,109.0,266,22.5,36.5,28.0,13.5,18.0,13.5,6848.0,9402.0,8492.0,3370.0,4398.0,4094.0,37.4952,127.047241,19,0,14,1,4,11,2,5,11,23,8,0,2
SK허브젠(주상복합),APT,200508,SS,91.72,108.4,108.0,649,15.0,16.0,15.0,10.0,10.0,10.0,4591.0,5812.0,4591.0,3061.0,3061.0,3061.0,37.493698,127.030942,16,1,7,1,4,53,2,13,14,85,13,0,2
예지인,APT,200807,SS,97.22,97.33,97.0,216,12.0,12.0,12.0,6.5,7.0,6.5,4090.0,4090.0,4090.0,2215.0,2386.0,2215.0,37.496391,127.033045,26,1,9,1,4,97,3,19,18,140,18,0,2
프리빌리지(도시형),APT,201711,SS,26.64,66.13,66.0,249,3.75,7.0,7.0,3.2,3.2,,3506.0,4832.0,3506.0,4069.0,4069.0,,37.499907,127.041303,18,1,18,1,4,58,1,19,11,109,17,0,1
역삼센트럴2차아이파크(도시형),APT,202206,SS,29.77,37.78,30.0,0,5.1,7.5,5.5,2.7,3.7,3.0,5620.0,7000.0,6061.0,3078.0,3306.0,3306.0,37.499996,127.046438,21,0,18,1,4,33,2,5,15,74,9,0,1
개나리래미안,APT,200608,SS,77.59,184.38,109.0,273,24.0,36.0,29.5,11.5,18.0,13.0,5911.0,12665.0,8947.0,2964.0,4937.0,3943.0,37.498452,127.046103,17,0,19,1,4,16,2,8,16,64,10,0,2
프리우스역삼1차,APT,200606,SS,104.21,104.21,104.0,199,12.5,12.8,12.5,,,,3973.0,4069.0,3973.0,,,,37.501366,127.031,25,2,12,0,4,103,0,13,10,140,17,0,2
